cps19_citizenship,cps19_yob,cps19_province,cps19_votechoice,cps19_education,cps19_gender,vote_liberal,age,age_bracket,province_q,education_q,income_bracket,sex
Canadian citizen,1998,Ontario,Conservative Party,Some university,A man,0,22,1,3,2,2,1
Canadian citizen,1999,Ontario,Liberal Party,Some university,A woman,1,21,1,3,2,2,0
Canadian citizen,1998,Ontario,Liberal Party,Some university,A woman,1,22,1,3,2,2,0
Canadian citizen,1998,Ontario,Conservative Party,Some university,A woman,0,22,1,3,2,3,0
Canadian citizen,1999,Ontario,Liberal Party,Completed secondary/ high school,A man,1,21,1,3,2,3,1
Canadian citizen,2000,Ontario,Liberal Party,Some university,A woman,1,20,1,3,2,1,0
Canadian citizen,1998,Ontario,Liberal Party,Some university,A man,1,22,1,3,2,1,1
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,20,1,3,2,1,0
Canadian citizen,2000,Ontario,Conservative Party,Completed secondary/ high school,A man,0,20,1,3,2,1,1
Canadian citizen,1995,Ontario,Liberal Party,Some university,A man,1,25,1,3,2,3,1
Canadian citizen,1999,Ontario,Liberal Party,Some university,A woman,1,21,1,3,2,1,0
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,20,1,3,2,3,0
Canadian citizen,1999,Ontario,Liberal Party,Completed secondary/ high school,A man,1,21,1,3,2,1,1
Canadian citizen,2000,Ontario,Liberal Party,Some university,A man,1,20,1,3,2,1,1
Canadian citizen,2000,Ontario,Liberal Party,Some secondary/ high school,A woman,1,20,1,3,1,2,0
Canadian citizen,1999,Ontario,Conservative Party,Completed secondary/ high school,A man,0,21,1,3,2,1,1
Canadian citizen,1995,Ontario,Liberal Party,Some university,A woman,1,25,1,3,2,1,0
Canadian citizen,2000,Ontario,Liberal Party,Some secondary/ high school,A man,1,20,1,3,1,2,1
Canadian citizen,2000,Ontario,Liberal Party,Some university,A woman,1,20,1,3,2,1,0
Canadian citizen,2000,Ontario,Liberal Party,Some university,A woman,1,20,1,3,2,1,0
Canadian citizen,1998,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,22,1,3,2,1,0
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,20,1,3,2,1,0
Canadian citizen,1998,Ontario,Liberal Party,Some university,A woman,1,22,1,3,2,1,0
Canadian citizen,1999,Ontario,Liberal Party,Some university,A man,1,21,1,3,2,1,1
Canadian citizen,1999,Ontario,Liberal Party,Some university,A woman,1,21,1,3,2,1,0
Canadian citizen,2000,Ontario,Liberal Party,Some university,A woman,1,20,1,3,2,1,0
Canadian citizen,1998,Ontario,Liberal Party,Some university,A woman,1,22,1,3,2,2,0
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A man,1,20,1,3,2,1,1
Canadian citizen,1999,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,21,1,3,2,3,0
Canadian citizen,1998,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,22,1,3,2,1,0
Canadian citizen,1997,Ontario,Liberal Party,Bachelor's degree,A woman,1,23,1,3,3,1,0
Canadian citizen,1956,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,64,3,2,2,1,0
Canadian citizen,1960,British Columbia,Conservative Party,Bachelor's degree,A man,0,60,2,5,3,1,1
Canadian citizen,1959,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A woman,1,61,3,3,2,3,0
Canadian citizen,1990,Ontario,Liberal Party,Bachelor's degree,A woman,1,30,1,3,3,1,0
Canadian citizen,1954,Alberta,Conservative Party,Bachelor's degree,A man,0,66,3,4,3,3,1
Canadian citizen,1956,Saskatchewan,Conservative Party,Completed secondary/ high school,A woman,0,64,3,4,2,1,0
